gauche-gauche;style-gauche-gauche;gauche-centre;style-gauche-centre;gauche-droite;style-gauche-droite;centre-gauche;style-centre-gauche;centre-centre;style-centre-centre;centre-droite;style-centre-droite;droite-gauche;style-droite-gauche;droite-centre;style-droite-centre;droite-droite;style-droite-droite;style-ligne;commentaire
;;;;;;Location Manager;;;;GORDON WYCHERLEY;;;;;;;;;
;;;;;;Assistant Location Managers;;;;JACK MURPHY;;;;;;;;;
;;;;;;;;;;NIALL MILTON;;;;;;;;;
;;;;;;Location Assistant;;;;DEAN GILCHRIST;;;;;;;;;
;;;;;;Location Trainees;;;;ERIC SWEENEY;;;;;;;;;
;;;;;;;;;;JOHN BOYLE;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;3rd Assistant Director;;;;KIERON WALSHE;;;;;;;;;
;;;;;;Key Trainee Assistant Director;;;;OISIN MCDERMOTT;;;;;;;;;
;;;;;;Trainee Assistant Directors;;;;LAURIC BARMETTLER;;;;;;;;;
;;;;;;;;;;KAREN ANN CLANCY;;;;;;;;;
;;;;;;;;;;PADDY GILLESPIE;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Extras Coordinator;;;;MARY MOYLAN;;;;;;;;;
;;;;;;Mr Neeson's Stand-in;;;;CRONAN SCANLON;;;;;;;;;
;;;;;;Utility Stand-ins;;;;PATRICK HAUGHEY;;;;;;;;;
;;;;;;;;;;NIAMH O'MALLEY;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Casting Associate;;;;FIONNUALA O'SHEA;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Donegal Location Traditional Music Consultant;;;;CAOIMHÍN MACAOIDH ;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Costume Supervisor/Assistant Designer;;;;DERBHLA MCCLELLAND;;;;;;;;;
;;;;;;Costume Assistant;;;;KATIE O'BRIEN;;;;;;;;;
;;;;;;Costume Standby;;;;AISLING NOLAN;;;;;;;;;
;;;;;;Costume Assistant;;;;VERA MOLES;;;;;;;;;
;;;;;;Costume Trainees;;;;EIMEAR JOYCE;;;;;;;;;
;;;;;;;;;;LISA MARIE GIBLIN;;;;;;;;;
;;;;;;;;;;BETSY GACHAGAN;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Costume Tailors and Cutters;;;;ZUZI ZILKOVA;;;;;;;;;
;;;;;;;;;;DENISE ASAFF;;;;;;;;;
;;;;;;Costume Maker Assistant;;;;ANNA O'DOHERTY;;;;;;;;;
;;;;;;Costume Maker Trainees;;;;DIMELLl KA;;;;;; ;;;
;;;;;;;;;;BOBBIE MCDONNELL;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Make-up Designer;;;;CLARE LAMBE;;;;;; ;;;
;;;;;;Key Make-up Artist;;;;AISLING DUFFY;;;;;;;;;
;;;;;;Make-up Crowd Supervisor;;;;DOROTHY CAMPBELL;;;;;;;;;
;;;;;;Make-up Junior;;;;VALERIE WARD;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;; ;;Hair Designers;;;;EILEEN BUGGY;;;;;;;;;
;;;;;;;;;;SEVLENE RODDY;;;;;;;;;
;;;; ;;Key Hair;;;;AOIFE MAHER;;;;;;;;;
;;;;;;Crowd Hair Supervisor;;;;MARIO KARPATS;;;;;;;;;
;;;; ;;Crowd Hair Assistant;;;;ZUEILKA DELANEY;;;;;;;;;
;;;; ;;Hair Junior;;;;SHANE BURKE;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Lead Cast Supervisor;;;;ANNA GRAHAM;;;;;;;;;
;;;;;;Assistant to Mr Neeson;;;;LISA SERVICE;;;;;;;;;
;;;;;;Personal Costume to Mr Neeson;;;;MARIE BREEN;;;;;;;;;
;;;;;;Personal Make-up to Mr Neeson;;;;EMMA TRAYNOR;;;;;;;;;
;;;;;;Personal Hair to Mr Neeson;;;;SEVLENE RODDY;;;;;;;;;
;;;;;;Driver to Mr Neeson;;;;RUAIRÍ CONNAUGHTON;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Personal Assistant to Robert Lorenz;;;;ALEX MCNEILL;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Health Supervisor;;;;MICHAEL PLUCK;;;;;;;;;
;;;;;;Health Testing Coordinator;;;;SHANE WHISKER;;;;;;;;;
;;;;;;Health  Assistant;;;;SHAUNA DOYLE;;;;;;;;;
;;;;;;Health Trainee;;;;CHLOE O'REILLY;;;;;;;;;
;;;;;;Health  Hygiene;;;;CAROL ANN MCINTYRE;;;;;;;;;
;;;;;;Health  Testing;;;;NUEVO IRELAND BIOSECURITY;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Medics;;;;BLUE SCREEN MEDICS;;;;;;;;;
;;;;;;Medic;;;;ANDY WATERS;;;;;;;;;
;;;;;;Health and Safety Consultants;;;;MICHAEL YOUNG;;;;;;;;;
;;;;;;;;;;AOIFE MCCAFFERTY;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Action Vehicles ;;;;DNA ACTION VEHICLES LTD;;;;;;;;;
;;;;;;Action Vehicle Coordinator;;;;DENNIS HEALY;;;;;;;;;
;;;;;;Action Vehicle Assistant;;;;ANTHONY PATTISON;;;;;;;;;
;;;;;;Action Vehicle Drivers;;;;GUS ROBINSON;;;;;;;;;
;;;;;;;;;;KENNETH DOHERTY;;;;;;;;;
;;;;;;;;;;GEOFFREY LIVINGSTONE;;;;;; ;;;
;;;;;;;;;;BILLY O'CONNELL;;;;;; ;;;
;;;;;;;;;;CIARAN SYNNOTT;;;;;; ;;;
;;;;;;;;;;WILLIAM CARSTAIRS;;;;;; ;;;
;;;;;;;;;;TONI KELLY;;;;;; ;;;
;;;;;;;;;;;;;;;; ;;;
;;;;;;Animal Wrangler;;;;KENNY GRACEY;;;;;; ;;;
;;;;;;Horse Handler;;;;CIARAN HANLON;;;;;; ;;;
;;;;;;Horse Wrangler Assistant;;;;JILL REVILL;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Armourers;;;;JOE CONDREN;;;;;;;;;
;;;;;;;;;;ARAN CONDREN;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;SFX ;;;;FILM FX IRELAND;;;;;;;;;
;;;;;;SFX Supervisors;;;;BRENDAN BYRNE;;;;;;;;;
;;;;;;;;;;AIDAN BYRNE;;;;;;;;;
;;;;;;;;;;RYAN MCNEILL;;;;;;;;;
;;;;;;SFX Pyro Supervisor;;;;MICHAEL KEARNS;;;;;;;;;
;;;;;;SFX Technicians;;;;NIALL O'DOHERTY;;;;;;;;;
;;;;;;;;;;OWEN WINDSOR;;;;;;;;;
;;;;;;;;;;KARL ROCHE;;;;;;;;;
;;;;;;;;;;PHILIPPE ZONE;;;;;;;;;
;;;;;;;;;;BRIAN MULVEY;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Transport;;;;PJ FILM SERVICES LTD.;;;;;;;;;
;;;;;;Head of Transport;;;;PAUL CULLEN;;;;;;;;;
;;;;;;Transport Captain;;;;PETER THORNTON;;;;;;;;;
;;;;;;Transport Coordinator;;;;REBECCA CULLEN;;;;;;;;;
;;;;;;Unit Drivers;;;;MARTIN REILLY;;;;;;;;;
;;;;;;;;;;JOHN CLANCY;;;;;;;;;
;;;;;;;;;;PAT MURPHY;;;;;;;;;
;;;;;;;;;;JACKIE MCBREARTY;;;;;;;;;
;;;;;;;;;;DAVID BYRNE;;;;;;;;;
;;;;;;Minibus Drivers;;;;KEVIN MCCARTHY;;;;;;;;;
;;;;;;;;;;AIDEN HAUGHEY;;;;;;;;;
;;;;;;;;;;PATRICK MCSHANE;;;;;;;;;
;;;;;;;;;;JOE HAUGHEY;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Standby Trucks;;;;ESTEEVILLE LTD.;;;;;;;;;
;;;;;;Standby Construction Driver;;;;JUNIOR FARRELL;;;;;;;;;
;;;;;;Standby Electrical Driver;;;;DEREK SMITH;;;;;;;;;
;;;;;;Standby Camera Driver;;;;COLIN MURPHY;;;;;;;;;
;;;;;;Standby Grip Driver;;;;DEREK SWEETMAN;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Facilities Transport;;;;IRISH FILM & TV FACILITIES;;;;;;;;;
;;;;;;Facilities Coordinator;;;;STEPHEN FEARON;;;;;;;;;
;;;;;;Facilities Manager;;;;GEORGE O'DOWD;;;;;;;;;
;;;;;;Facilities Drivers;;;;EDDIE KIRWAN;;;;;;;;;
;;;;;;;;;;WILLIAM GOWAN;;;;;;;;;
;;;;;;;;;;PAUL O'DOWD;;;;;;;;;
;;;;;;;;;;ZDZISLAW MEHRING;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Publicity Company;;;;DDA CONSULTING;;;;;;;;;
;;;;;;Publicists;;;;DENNIS DAVIDSON;;;;;;;;;
;;;;;;;;;;EMMA MASON;;;;;;;;;
;;;;;;;;;;CHRISTINA KOHL;;;;;;;;;
;;;;;;;;;;MATHILDE CHARTIER;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Stills Photographer;;;;ENDA BOWE;;;;;;;;;
;;;;;;EPK;;;;MICHELLE RYAN;;;;;;;;;
;;;;;;EPK Crew;;;;TOMMY FITZGERALD;;;;;;;;;
;;;;;;;;;;NIN JABLONSKA;;;;;;;;;
;;;;;;;;;;GUILLAUME BEAURON;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Catering;;;;SIDEWALK CATERING;;;;;;;;;
;;;;;;Head of Catering;;;;IVAN MELIA;;;;;;;;;
;;;;;;Catering Manager;;;;IAN DALY;;;;;;;;;
;;;;;;Chef;;;;SINEAD O'BRIEN;;;;;;;;;
;;;;;;Kitchen Assistants;;;;GEOFFREY CRAWFORD;;;;;;;;;
;;;;;;;;;;DEIDRE HASLAM;;;;;;;;;
;;;;;;;;;;LIDIA ANNA MEHRING;;;;;;;;;
;;;;;;Catering Accounts;;;;RACHEL MELIA;;;;;;;;;
;;;;;;Catering Transport;;;;TONY FAHERTY;;;;;;;;;
;;;;;;;;;;SEAN MELIA;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Additional Camera Operators;;;;ERIC GREENBERG;;;;;;;;;
;;;;;;;;;;MICK O'ROURKE;;;;;;;;;
;;;;;;Additional 1st Camera Assistant;;;;CAROL TOMEY;;;;;;;;;
;;;;;;;;;;DAVE  BOYLE;;;;;;;;;
;;;;;;Additional 2nd Camera Assistant;;;;BARRA DOHERTY;;;;;;;;;
;;;;;; ;;;;ZIANNA PFEIFFER;;;;;;;;;
